id;code;date;details;status;payment_method;payment_date;payment_amount
1;Texas Focused;2023-01-30T19:37:39;Loop;CANCELLED;PAYPAL;2023-01-30T13:58:04;22604
2;calculating;2023-01-30T20:06:02;haptic 1080p;ISSUED;PAYPAL;2023-01-30T07:19:42;10489
3;national Frozen Berkshire;2023-01-30T20:20:52;Account Borders Home;PAID;CREDIT_CARD;2023-01-30T11:03:43;36325
4;monitor;2023-01-30T06:23:28;parse intuitive Division;CANCELLED;PAYPAL;2023-01-30T07:58:29;13687
5;synergy transmitting;2023-01-30T06:25:43;parse Gloves;ISSUED;PAYPAL;2023-01-30T15:02:21;92472
6;function;2023-01-30T11:19:11;Fresh;CANCELLED;CASH_ON_DELIVERY;2023-01-30T22:26:12;26944
7;Maine;2023-01-30T21:45:34;RAM;ISSUED;PAYPAL;2023-01-31T02:47:26;32458
8;Analyst Agent;2023-01-31T01:40:16;Awesome Salad compressing;ISSUED;CASH_ON_DELIVERY;2023-01-30T22:41:58;79389
9;Salad;2023-01-30T07:48:58;Gorgeous;ISSUED;CREDIT_CARD;2023-01-30T16:35:22;62169
10;Pants Wooden Intuitive;2023-01-30T17:12:55;array Arizona Vermont;CANCELLED;CASH_ON_DELIVERY;2023-01-30T13:07:32;58737
