id;placed_date;status;code;invoice_id;customer_id
1;2023-01-30T19:10:55;COMPLETED;Electronics;57858;1
2;2023-01-30T22:48:55;CANCELLED;withdrawal virtual;42917;2
3;2023-01-30T05:51:15;COMPLETED;compress Soft cross-platform;960;2
4;2023-01-30T16:00:47;COMPLETED;Expanded;88753;1
5;2023-01-30T12:08:57;CANCELLED;Hat;10576;1
6;2023-01-30T12:47:43;PENDING;Regional harness Holy;55347;1
7;2023-01-30T04:48:30;COMPLETED;Decentralized Visionary;88231;2
8;2023-01-30T07:07:29;COMPLETED;Credit Soft Cotton;23331;2
9;2023-01-30T10:35:55;PENDING;Implemented;30578;2
10;2023-01-30T22:47:48;PENDING;solution protocol;72463;1
